"","Entropy","Complexity"
"1",0.000156712429199625,7.89096939821554e-05
"2",5.22374763998749e-05,2.63134805436233e-05
"3",5.22374763998749e-05,2.63134805436233e-05
"4",5.22374763998749e-05,2.63134805436233e-05
"5",5.22374763998749e-05,2.63134805436233e-05
"6",5.22374763998749e-05,2.63134805436233e-05
"7",5.22374763998749e-05,2.63134805436233e-05
"8",5.22374763998749e-05,2.63134805436233e-05
"9",5.22374763998749e-05,2.63134805436233e-05
"10",0.00010447495279975,5.26167118710085e-05
"11",0.000481597423616361,0.000242260145150092
"12",5.22374763998749e-05,2.63134805436233e-05
"13",5.22374763998749e-05,2.63134805436233e-05
"14",5.22374763998749e-05,2.63134805436233e-05
"15",5.22374763998749e-05,2.63134805436233e-05
"16",0.0002089499055995,0.000105192426877064
"17",0.00010447495279975,5.26167118710085e-05
"18",5.22374763998749e-05,2.63134805436233e-05
"19",5.22374763998749e-05,2.63134805436233e-05
"20",0.0002089499055995,0.000105192426877064
"21",5.22374763998749e-05,2.63134805436233e-05
"22",5.22374763998749e-05,2.63134805436233e-05
"23",5.22374763998749e-05,2.63134805436233e-05
"24",0.00010447495279975,5.26167118710085e-05
"25",5.22374763998749e-05,2.63134805436233e-05
"26",0.000156712429199625,7.89096939821554e-05
"27",5.22374763998749e-05,2.63134805436233e-05
"28",5.22374763998749e-05,2.63134805436233e-05
"29",5.22374763998749e-05,2.63134805436233e-05
"30",0.00010447495279975,5.26167118710085e-05
"31",0.0002089499055995,0.000105192426877064
"32",5.22374763998749e-05,2.63134805436233e-05
"33",5.22374763998749e-05,2.63134805436233e-05
"34",5.22374763998749e-05,2.63134805436233e-05
"35",5.22374763998749e-05,2.63134805436233e-05
"36",5.22374763998749e-05,2.63134805436233e-05
"37",5.22374763998749e-05,2.63134805436233e-05
"38",5.22374763998749e-05,2.63134805436233e-05
"39",5.22374763998749e-05,2.63134805436233e-05
"40",0.00010447495279975,5.26167118710085e-05
"41",5.22374763998749e-05,2.63134805436233e-05
"42",5.22374763998749e-05,2.63134805436233e-05
"43",5.22374763998749e-05,2.63134805436233e-05
"44",5.22374763998749e-05,2.63134805436233e-05
"45",0.00010447495279975,5.26167118710085e-05
"46",5.22374763998749e-05,2.63134805436233e-05
"47",5.22374763998749e-05,2.63134805436233e-05
"48",5.22374763998749e-05,2.63134805436233e-05
"49",5.22374763998749e-05,2.63134805436233e-05
"50",0.00010447495279975,5.26167118710085e-05
"51",5.22374763998749e-05,2.63134805436233e-05
"52",5.22374763998749e-05,2.63134805436233e-05
"53",5.22374763998749e-05,2.63134805436233e-05
"54",5.22374763998749e-05,2.63134805436233e-05
"55",0.000156712429199625,7.89096939821554e-05
"56",0.000156712429199625,7.89096939821554e-05
"57",5.22374763998749e-05,2.63134805436233e-05
"58",0.00010447495279975,5.26167118710085e-05
"59",5.22374763998749e-05,2.63134805436233e-05
"60",5.22374763998749e-05,2.63134805436233e-05
"61",5.22374763998749e-05,2.63134805436233e-05
"62",5.22374763998749e-05,2.63134805436233e-05
"63",0.000156712429199625,7.89096939821554e-05
"64",5.22374763998749e-05,2.63134805436233e-05
"65",5.22374763998749e-05,2.63134805436233e-05
"66",5.22374763998749e-05,2.63134805436233e-05
"67",5.22374763998749e-05,2.63134805436233e-05
"68",5.22374763998749e-05,2.63134805436233e-05
"69",0.00010447495279975,5.26167118710085e-05
"70",5.22374763998749e-05,2.63134805436233e-05
"71",5.22374763998749e-05,2.63134805436233e-05
"72",0.000156712429199625,7.89096939821554e-05
"73",5.22374763998749e-05,2.63134805436233e-05
"74",5.22374763998749e-05,2.63134805436233e-05
"75",5.22374763998749e-05,2.63134805436233e-05
"76",0.000261187381999374,0.000131464910555735
"77",5.22374763998749e-05,2.63134805436233e-05
"78",0.000261187381999374,0.000131464910555735
"79",5.22374763998749e-05,2.63134805436233e-05
"80",5.22374763998749e-05,2.63134805436233e-05
"81",5.22374763998749e-05,2.63134805436233e-05
"82",0.00010447495279975,5.26167118710085e-05
"83",0.00010447495279975,5.26167118710085e-05
"84",5.22374763998749e-05,2.63134805436233e-05
"85",0.0002089499055995,0.000105192426877064
"86",0.00010447495279975,5.26167118710085e-05
"87",5.22374763998749e-05,2.63134805436233e-05
"88",5.22374763998749e-05,2.63134805436233e-05
"89",0.00010447495279975,5.26167118710085e-05
"90",5.22374763998749e-05,2.63134805436233e-05
"91",5.22374763998749e-05,2.63134805436233e-05
"92",5.22374763998749e-05,2.63134805436233e-05
"93",5.22374763998749e-05,2.63134805436233e-05
"94",5.22374763998749e-05,2.63134805436233e-05
"95",5.22374763998749e-05,2.63134805436233e-05
"96",5.22374763998749e-05,2.63134805436233e-05
"97",5.22374763998749e-05,2.63134805436233e-05
"98",0.000156712429199625,7.89096939821554e-05
"99",0.00010447495279975,5.26167118710085e-05
"100",0.000261187381999374,0.000131464910555735
