"","Entropy1","Complexity1","Entropy2","Complexity2","Entropy3","Complexity3","Entropy4","Complexity4"
"1",0,0,0,0,0,0,0.768353199216752,0.319380603765721
"2",0,0,0,0,0,0,0.769722465497218,0.31874340423026
"3",0,0,0,0,0,0,0.773237443990309,0.317709517925521
"4",0,0,0,0,0,0,0.774041926068401,0.314479636994124
"5",0,0,0,0,0,0,0.766555451815582,0.321845731550422
"6",0,0,0,0,0,0,0.77151198132623,0.318377744535281
"7",0,0,0,0,0,0,0.771516326640982,0.319475132605187
"8",0,0,0,0,0,0,0.776074563687465,0.314971035474949
"9",0,0,0,0,0,0,0.774156534590937,0.31445360214171
"10",0,0,0,0,0,0,0.768746672192307,0.318606903131434
"11",0,0,0,0,0,0,0.77231510354657,0.316169091023806
"12",0,0,0,0,0,0,0.773520774456134,0.318513780324944
"13",0,0,0,0,0,0,0.76721020379071,0.318746326263986
"14",0,0,0,0,0,0,0.768151272742031,0.319498392897507
"15",0,0,0,0,0,0,0.769300324599837,0.31543754717173
"16",0,0,0,0,0,0,0.770160917471855,0.318331411928647
"17",0,0,0,0,0,0,0.76893882471758,0.318010329252675
"18",0,0,0,0,0,0,0.76914237703858,0.316589907906925
"19",0,0,0,0,0,0,0.768346228889412,0.319789878498816
"20",0,0,0,0,0,0,0.769501803734438,0.317787064672432
"21",0,0,0,0,0,0,0.769540040509649,0.319465235545138
"22",0,0,0,0,0,0,0.770829034300953,0.317564026416805
"23",0,0,0,0,0,0,0.773179665878381,0.316834109493188
"24",0,0,0,0,0,0,0.768437064231028,0.318734409639613
"25",0,0,0,0,0,0,0.769959396533333,0.319314062841085
"26",0,0,0,0,0,0,0.770704534935629,0.3159618573334
"27",0,0,0,0,0,0,0.768357517069983,0.318314280825343
"28",0,0,0,0,0,0,0.769456298148845,0.317473464940417
"29",0,0,0,0,0,0,0.763474798391321,0.323319757052411
"30",0,0,0,0,0,0,0.774667254839624,0.313737900125383
"31",0,0,0,0,0,0,0.766983193540768,0.320339062100809
"32",0,0,0,0,0,0,0.775105707075787,0.31348052458737
"33",0,0,0,0,0,0,0.774866215343724,0.317179680700338
