"","Entropy1","Complexity1","Entropy2","Complexity2","Entropy3","Complexity3","Entropy4","Complexity4"
"1",0,0,0,0,0.902925948760099,0.19578603094222,0,0
"2",0,0,0,0,0.904751489981277,0.192559664823435,0,0
"3",0,0,0,0,0.904901980673037,0.194646289682357,0,0
"4",0,0,0,0,0.905536601735073,0.192129251672018,0,0
"5",0,0,0,0,0.901636076741668,0.19843901833083,0,0
"6",0,0,0,0,0.903818883912574,0.195343543668302,0,0
"7",0,0,0,0,0.903872554396782,0.194747002524855,0,0
"8",0,0,0,0,0.905100857539402,0.195133078469421,0,0
"9",0,0,0,0,0.903567769954532,0.194946573508334,0,0
"10",0,0,0,0,0.903333988630174,0.194230632507332,0,0
"11",0,0,0,0,0.902424761055883,0.197381266528158,0,0
"12",0,0,0,0,0.905315391356807,0.193524007580215,0,0
"13",0,0,0,0,0.902131068625656,0.19640834204923,0,0
"14",0,0,0,0,0.902743833212135,0.19655582934061,0,0
"15",0,0,0,0,0.903770768039519,0.193550384255417,0,0
"16",0,0,0,0,0.904202395161368,0.194615712777036,0,0
"17",0,0,0,0,0.903763853708842,0.194294324770405,0,0
"18",0,0,0,0,0.902908444144757,0.195369018195974,0,0
"19",0,0,0,0,0.904030493923002,0.19453061857273,0,0
"20",0,0,0,0,0.9025168092045,0.19703604197322,0,0
"21",0,0,0,0,0.903936153423094,0.194189288764217,0,0
"22",0,0,0,0,0.90248106425638,0.197016107124339,0,0
"23",0,0,0,0,0.903158908829246,0.196114763573544,0,0
"24",0,0,0,0,0.901333668240812,0.197710593676333,0,0
"25",0,0,0,0,0.904126667577837,0.194396488558612,0,0
"26",0,0,0,0,0.902872704634852,0.195047189312223,0,0
"27",0,0,0,0,0.904445207205561,0.194176877123705,0,0
"28",0,0,0,0,0.90284589864814,0.195622912386993,0,0
"29",0,0,0,0,0.900265325858065,0.198198233192395,0,0
"30",0,0,0,0,0.90521463091646,0.19254635249611,0,0
"31",0,0,0,0,0.904413242494292,0.193354386939275,0,0
"32",0,0,0,0,0.904493004284078,0.194482085841932,0,0
"33",0,0,0,0,0.906797467379814,0.190873411263179,0,0
"34",0,0,0,0,0.902376907680128,0.197244869137181,0,0
"35",0,0,0,0,0.904093171338846,0.195125985344018,0,0
"36",0,0,0,0,0.903591256667477,0.195111650258908,0,0
"37",0,0,0,0,0.902139875512841,0.196892031359473,0,0
"38",0,0,0,0,0.904595356019821,0.1940871546028,0,0
"39",0,0,0,0,0.899646949261451,0.200153714344082,0,0
"40",0,0,0,0,0.903237110202305,0.19568856074396,0,0
"41",0,0,0,0,0.903425957892328,0.195372852328018,0,0
"42",0,0,0,0,0.901525961411559,0.198622659731585,0,0
"43",0,0,0,0,0.903501056989314,0.19575150845656,0,0
"44",0,0,0,0,0.900444192295544,0.199223189309387,0,0
"45",0,0,0,0,0.906260070528708,0.191351615050207,0,0
"46",0,0,0,0,0.905050665062106,0.192132011853161,0,0
"47",0,0,0,0,0.903115071978615,0.195090923420034,0,0
"48",0,0,0,0,0.901608855721672,0.198454736416083,0,0
"49",0,0,0,0,0.905216101619318,0.192886025485262,0,0
"50",0,0,0,0,0.902871255691593,0.195657224870498,0,0
"51",0,0,0,0,0.904165826533624,0.194688436723984,0,0
"52",0,0,0,0,0.901917618162973,0.196438514435648,0,0
"53",0,0,0,0,0.903369152575721,0.196078818644675,0,0
"54",0,0,0,0,0.901586226153347,0.198266642187991,0,0
"55",0,0,0,0,0.906750280796761,0.190263323759861,0,0
"56",0,0,0,0,0.905239130832331,0.192603896648706,0,0
"57",0,0,0,0,0.900992380464953,0.198904558432505,0,0
"58",0,0,0,0,0.903261953699603,0.195219308809204,0,0
"59",0,0,0,0,0.903148024810138,0.195404048058177,0,0
"60",0,0,0,0,0.904503072069182,0.193756921546825,0,0
"61",0,0,0,0,0.904823714013598,0.194406787044007,0,0
"62",0,0,0,0,0.901684102853935,0.198944386055967,0,0
"63",0,0,0,0,0.901772305275076,0.198439172253068,0,0
"64",0,0,0,0,0.903722288866369,0.194608228985191,0,0
"65",0,0,0,0,0.903269455225566,0.195922170771105,0,0
"66",0,0,0,0,0.902669832415718,0.196599523195209,0,0
"67",0,0,0,0,0.900755966248314,0.199713600463135,0,0
"68",0,0,0,0,0.904243007626993,0.19446775284503,0,0
"69",0,0,0,0,0.902238904641576,0.197955942721559,0,0
"70",0,0,0,0,0.902293589083804,0.197515938732781,0,0
"71",0,0,0,0,0.905543627090991,0.191953573895355,0,0
"72",0,0,0,0,0.903835052039485,0.193966567830803,0,0
"73",0,0,0,0,0.902355928417549,0.196878968963957,0,0
"74",0,0,0,0,0.905685459876719,0.190993154322644,0,0
"75",0,0,0,0,0.904272661225026,0.195120732717776,0,0
"76",0,0,0,0,0.901046297810286,0.197591352430328,0,0
"77",0,0,0,0,0.905094928963502,0.19291151110101,0,0
"78",0,0,0,0,0.904203598412687,0.194631101517501,0,0
"79",0,0,0,0,0.903774533116099,0.193649578002098,0,0
"80",0,0,0,0,0.904961274484901,0.193766195338936,0,0
"81",0,0,0,0,0.904527960769324,0.193830126939504,0,0
"82",0,0,0,0,0.901749019155462,0.197468978106968,0,0
"83",0,0,0,0,0.903638716355755,0.195152414811539,0,0
"84",0,0,0,0,0.903313978136585,0.196081760565132,0,0
"85",0,0,0,0,0.90701699621971,0.191530735049972,0,0
"86",0,0,0,0,0.903951023731142,0.193916973870322,0,0
"87",0,0,0,0,0.903754833472549,0.194203628897681,0,0
"88",0,0,0,0,0.902550840237462,0.197552378311423,0,0
"89",0,0,0,0,0.901611080406628,0.19751497832421,0,0
"90",0,0,0,0,0.901404249726386,0.199336914818342,0,0
"91",0,0,0,0,0.902471169324816,0.196407337998045,0,0
"92",0,0,0,0,0.901792557867445,0.197183438108513,0,0
"93",0,0,0,0,0.901503493087906,0.197579111350421,0,0
"94",0,0,0,0,0.903251757255617,0.195880543281406,0,0
"95",0,0,0,0,0.901956214448639,0.197467173291281,0,0
"96",0,0,0,0,0.903216792878611,0.195531861562486,0,0
"97",0,0,0,0,0.903534237574981,0.195027741315959,0,0
"98",0,0,0,0,0.904559552703574,0.193767743434516,0,0
"99",0,0,0,0,0.903526220667304,0.194501447638659,0,0
"100",0,0,0,0,0.900395054441495,0.199840236399454,0,0
